LISTA DE IMPACTOS DETECTADOS (segundos):
- Inicio: 99.00s, Fin: 99.20s (Duración: 0.20s)
- Inicio: 99.40s, Fin: 99.67s (Duración: 0.27s)
- Inicio: 99.87s, Fin: 99.87s (Duración: 0.00s)
- Inicio: 100.20s, Fin: 100.33s (Duración: 0.13s)
- Inicio: 100.67s, Fin: 100.67s (Duración: 0.00s)
- Inicio: 101.53s, Fin: 101.53s (Duración: 0.00s)
- Inicio: 103.13s, Fin: 103.13s (Duración: 0.00s)
- Inicio: 105.13s, Fin: 105.13s (Duración: 0.00s)
- Inicio: 111.27s, Fin: 111.67s (Duración: 0.40s)
- Inicio: 111.87s, Fin: 111.93s (Duración: 0.07s)
- Inicio: 112.13s, Fin: 112.27s (Duración: 0.13s)
- Inicio: 112.60s, Fin: 112.60s (Duración: 0.00s)
- Inicio: 112.80s, Fin: 112.80s (Duración: 0.00s)
- Inicio: 115.47s, Fin: 115.47s (Duración: 0.00s)
- Inicio: 121.33s, Fin: 121.40s (Duración: 0.07s)
- Inicio: 121.53s, Fin: 121.53s (Duración: 0.00s)
- Inicio: 122.13s, Fin: 122.13s (Duración: 0.00s)
- Inicio: 122.53s, Fin: 122.53s (Duración: 0.00s)
- Inicio: 123.93s, Fin: 123.93s (Duración: 0.00s)
- Inicio: 126.40s, Fin: 126.40s (Duración: 0.00s)
- Inicio: 126.53s, Fin: 126.53s (Duración: 0.00s)
- Inicio: 126.80s, Fin: 126.93s (Duración: 0.13s)
- Inicio: 127.07s, Fin: 128.47s (Duración: 1.40s)
- Inicio: 128.60s, Fin: 128.60s (Duración: 0.00s)
- Inicio: 128.87s, Fin: 129.07s (Duración: 0.20s)
- Inicio: 129.20s, Fin: 129.67s (Duración: 0.47s)
- Inicio: 129.87s, Fin: 130.47s (Duración: 0.60s)
- Inicio: 130.60s, Fin: 130.73s (Duración: 0.13s)
- Inicio: 130.93s, Fin: 131.07s (Duración: 0.13s)
- Inicio: 131.27s, Fin: 131.80s (Duración: 0.53s)
- Inicio: 131.93s, Fin: 132.40s (Duración: 0.47s)
- Inicio: 132.53s, Fin: 132.67s (Duración: 0.13s)
- Inicio: 141.07s, Fin: 141.27s (Duración: 0.20s)
- Inicio: 141.47s, Fin: 141.73s (Duración: 0.27s)
- Inicio: 141.87s, Fin: 141.87s (Duración: 0.00s)
